CNPJ;Ticker;AnoRef;DataCotacao;PatrimonioLiquido;LucroLiquido;ROE;Total_Acoes;VPA;Preco;P_VPA
01.083.200/0001-18;NEOE3.SA;2024;2025-03-01;32747000000.0;3682000000.0;11.24;1213797248;26.978970379079325;18.886152267456055;0.7000323586144416
33.611.500/0001-19;GGBR3.SA;2023;2024-01-30;49238863000.0;7536983000.0;15.31;1757067050;28.023326144554357;15.240756034851074;0.5438596387964011
33.611.500/0001-19;GGBR3.SA;2024;2025-03-01;58173786000.0;4599062000.0;7.91;2078805560;27.984236293845587;15.10346794128418;0.539713422324332
02.474.103/0001-19;EGIE3.SA;2023;2024-01-30;9816210000.0;3429060000.0;34.93;815927740;12.030734486365178;25.70103645324707;2.1362815780179414
02.474.103/0001-19;EGIE3.SA;2024;2025-03-01;12280398000.0;4302841000.0;35.04;815927740;15.050840163860588;25.239933013916016;1.6769783440077337
17.155.730/0001-64;CMIG4.SA;2023;2024-01-30;24655193000.0;5766835000.0;23.39;2201371;11199.926318644155;6.912417888641357;0.0006171842288939418
17.155.730/0001-64;CMIG4.SA;2024;2025-03-01;27383079000.0;7119287000.0;26.0;2861782;9568.541209637911;9.912691116333008;0.0010359668103167546
10.629.105/0001-68;PRIO3.SA;2023;2024-01-30;13878280000.0;5179905000.0;37.32;887229147;15.642272401585112;44.09000015258789;2.8186441854905957
10.629.105/0001-68;PRIO3.SA;2024;2025-03-01;25924192000.0;10301606000.0;39.74;892059934;29.061042887282056;37.369998931884766;1.2859138977506877
02.387.241/0001-60;RAIL3.SA;2023;2024-01-30;15871055000.0;721917000.0;4.55;1854868949;8.556429287662844;21.589101791381836;2.5231438332004044
53.113.791/0001-22;TOTS3.SA;2023;2024-01-30;5012671000.0;764435000.0;15.25;617183181;8.121852886331327;30.215904235839844;3.7203215397673235
53.113.791/0001-22;TOTS3.SA;2024;2025-03-01;4987121000.0;735443000.0;14.75;599401581;8.320166576270676;34.192012786865234;4.109534643739191
89.637.490/0001-45;KLBN11.SA;2023;2024-01-30;13732531000.0;2847388000.0;20.73;5617892756;2.4444274030210766;16.509939193725586;6.754113120038212
